category,level,genre,ntwk,metric_share,client_metric,prog_metric,client_share,affinity_denom,Genre Share,Client Genre Share,Affinity,Overall Share
Discovery Turbo,English INFO,English INFO,Discovery Network,826.2188965,,0.407364,15.523901,1.029658,0.0493046094353,,39.5630393781,
Disney Channel,Hindi Kids,Hindi Kids,Disney UTV,2720.1450925,1.3876635,292.207897,274.8492215,348.665,10.7423643616,0.504881728399,83.8076368434,0.012433731952
Disney XD,Hindi Kids,Hindi Kids,Disney UTV,2720.1450925,1.0877355,61.8070015,274.8492215,71.645,2.2721950263,0.395757169718,86.2684088213,0.00974631936463
E 24,Hindi Music,Hindi Music,OTHERS,1844.2041725,38.948035,99.8476305,279.5362545,165.3813455,5.4141310376,13.9330889547,60.3741795655,0.348981887357
ETV Bihar Jharkhand,Hindi News,Hindi News,OTHERS,3967.655552,,32.053291,22.033993,,0.80786475993,,,
ETV HARYANA HIMACHALPRADESH,Hindi Others,Hindi Others,OTHERS,377.570785,,0.6755605,69.571919,,0.178922874025,,,
ETV Madhya Pradesh,Hindi News,Hindi News,OTHERS,3967.655552,,2.75212,22.033993,,0.0693638841359,,,
ETV NEWS BANGLA,Bengali News,Bengali News,OTHERS,407.4867615,1.250472,32.732978,17.2091205,,8.03289360359,7.26633298895,,0.0112044697158
ETV News Gujarati,Gujarati News,Gujarati News,OTHERS,70.427211,15.892159,29.6195655,15.892159,,42.0569905856,100.0,,0.142396802355
ETV Rajasthan,Hindi News,Hindi News,OTHERS,3967.655552,,18.251971,22.033993,,0.460019040483,,,
ETV Telugu,Telugu GEC,Telugu GEC,OTHERS,6087.3425355,163.635944,1356.7490015,903.2600595,1356.7490015,22.2880344516,18.1161496381,100.0,1.46620954245
ETV Uttar Pradesh,Hindi News,Hindi News,OTHERS,3967.655552,,9.267128,22.033993,,0.23356684769,,,
Enterr10,Hindi Music,Hindi Music,OTHERS,1844.2041725,20.5599145,35.310202,279.5362545,40.0699675,1.91465796068,7.3550082213,88.1213642112,0.184220789729
Epic,Hindi Others,Hindi Others,OTHERS,377.570785,,18.0554285,69.571919,,4.7819982947,,,
FILMY,Hindi Movies,Hindi Movies,Sahara Network,10244.0330855,12.414648,46.3674465,745.0048915,71.8987945,0.452628824146,1.6663847636,64.4898802858,0.111237634708
FX,English GEC,English GEC,Star Network,27.754196,,0.271511,1.8088205,0.723194,0.978270096529,,37.5433147952,
Flowers TV,Malayalam GEC,Malayalam GEC,OTHERS,2705.6142805,,80.743228,196.830327,,2.98428451468,,,
Fox Life,English Lifestyle,English Lifestyle,Star Network,50.0434015,1.960767,25.412916,4.849767,36.3120305,50.7817519159,40.4301278804,69.9848387713,0.0175688495794
GEMINI,Telugu GEC,Telugu GEC,Sun Network,6087.3425355,157.1850895,1079.1559715,903.2600595,1079.1559715,17.7278667203,17.4019749735,100.0,1.40840864496
GEMINI HD,Telugu GEC,Telugu GEC,Sun Network,6087.3425355,0.399229,3.0179205,903.2600595,,0.0495769784992,0.0441986774242,,0.00357716865325
Gemini Comedy,Telugu Comedy,Telugu Comedy,Sun Network,87.31307,10.299043,87.31307,10.299043,,100.0,100.0,,0.0922814068568
Gemini Life,Telugu GEC,Telugu GEC,Sun Network,6087.3425355,38.0731125,103.5226105,903.2600595,,1.70062075358,4.21507760689,,0.341142413418
Gemini Movies,Telugu Movies,Telugu Movies,Sun Network,894.071624,43.161654,605.50308,117.180954,,67.7242251903,36.8333355607,,0.386736724314
Gemini Music,Telugu Music,Telugu Music,Sun Network,288.718172,31.0666925,193.7376495,45.9749645,,67.1026863872,67.5730646839,,0.278363542155
HBO,English Movies,English Movies,Turner Group,316.0944775,1.657999,34.3881845,18.545948,40.207176,10.8790842447,8.93995281341,85.527480219,0.0148559900456
HUNGAMA,Hindi Kids,Hindi Kids,Disney UTV,2720.1450925,10.6864525,290.002103,274.8492215,351.415,10.6612733196,3.88811452391,82.5241105246,0.0957526705159
History TV18,English INFO,English INFO,Viacom,826.2188965,,117.3140885,15.523901,146.495031,14.1989113293,,80.0805922899,
Home Shop 18,Hindi Others,Hindi Others,Viacom,377.570785,,0.004596,69.571919,,0.00121725519627,,,
IBC 24,Hindi News,Hindi News,OTHERS,3967.655552,,1.8062245,22.033993,,0.0455237224181,,,
IBN 7,Hindi News,Hindi News,Viacom,3967.655552,,321.956371,22.033993,645.925,8.11452422672,,49.8442343925,
IBN Lokmat,Marathi News,Marathi News,Viacom,254.1373295,,39.997872,31.0891035,283.1492755,15.7386843085,,14.1260725211,
India News,Hindi News,Hindi News,OTHERS,3967.655552,,429.386181,22.033993,755.765,10.8221637532,,56.8147745662,
India News Haryana,Hindi News,Hindi News,OTHERS,3967.655552,,0.1214,22.033993,,0.00305974141175,,,
India News MP,Hindi News,Hindi News,OTHERS,3967.655552,,0.478834,22.033993,,0.0120684367311,,,
India News Rajasthan,Hindi News,Hindi News,OTHERS,3967.655552,,0.8670185,22.033993,,0.0218521615255,,,
India News UP,Hindi News,Hindi News,OTHERS,3967.655552,,2.2030265,22.033993,,0.0555246409656,,,
India TV,Hindi News,Hindi News,OTHERS,3967.655552,,551.1075305,22.033993,1088.725,13.8900043937,,50.6195348228,
Investigation Discovery,English INFO,English INFO,Discovery Network,826.2188965,10.1283865,16.570234,15.523901,,2.0055501115,65.2438230571,,0.0907522917818
J Movie,Bengali Movies,Bengali Movies,OTHERS,478.8268245,43.125082,159.718826,84.932929,,33.3562820268,50.7754560072,,0.386409032157
Jai Maharashtra,Marathi News,Marathi News,OTHERS,254.1373295,16.92382,17.2388465,31.0891035,,6.78327994314,54.4365005572,,0.15164068341
Jalsha Movies,Bengali Movies,Bengali Movies,Star Network,478.8268245,13.952063,169.4881645,84.932929,2416.801829,35.3965475257,16.4271539487,7.01291113182,0.125013168912
Jaya Max,Tamil Movies,Tamil Movies,OTHERS,1242.284005,23.961611,63.3609345,70.442931,,5.10035823089,34.0156360047,,0.214700644869
Jaya TV,Tamil GEC,Tamil GEC,OTHERS,7032.552157,27.2316365,123.384026,836.1146285,123.384026,1.75447011619,3.25692621224,100.0,0.244000702515
KTV,Tamil Movies,Tamil Movies,Sun Network,1242.284005,46.48132,1178.9230705,70.442931,,94.8996417691,65.9843639953,,0.416481570391
Kairali,Malayalam GEC,Malayalam GEC,OTHERS,2705.6142805,32.823015,173.215434,196.830327,173.215434,6.40207420727,16.6757915308,100.0,0.294100529679
Kappa TV,Malayalam Music,Malayalam Music,OTHERS,131.3053125,,10.56944,51.185824,,8.04951437132,,,
Kiran TV,Malayalam Movies,Malayalam Movies,Sun Network,441.656688,25.505475,194.9932185,26.3013165,,44.1504054615,96.9741381577,,0.228533963355
Kochu TV,Malayalam Kids,Malayalam Kids,Sun Network,212.1076665,83.808892,212.1076665,83.808892,,100.0,100.0,,0.750943797484
Kolkata TV,Bengali News,Bengali News,OTHERS,407.4867615,7.6270665,31.0011495,17.2091205,473.801444,7.60789120753,44.3199087368,6.54306775393,0.0683399833179
